Customer ID,Product Category,Spend in Category,Prime Member,Checkout Amount
84920394,A8B44391,0.0,0,0.0
84223934,A8B44391,70.0,42,156.0
83202384,A8B44391,30.0,15,0.0
84342229,A8B44391,45.0,12,79.0
8339332,A8B44391,0.0,3,0.0
84332232,A8B44391,0.0,0,0.0
84432302,A8B44391,68.0,35,222.0
84333736,A8B44391,0.0,40,0.0
8455432,A8B44391,0.0,32,0.0
8333443,A8B44391,0.0,0,44.0
84430232,A8B44391,0.0,12,0.0
48886763,A8B44391,0.0,6,49.0
83556675,A8B44391,57.0,35,255.0
84090932,A8B44391,0.0,24,0.0
84228325,A8B44391,73.0,41,204.0
83434321,A8B44391,0.0,23,0.0
84567349,A8B44391,0.0,9,15.0
83203948,A8B44391,34.0,22,0.0
84422345,A8B44391,63.0,31,186.0
83103948,A8B44391,69.0,12,322.0
83332554,A8B44391,0.0,0,0.0
84567334,A8B44391,22.0,12,0.0
83204956,A8B44391,0.0,33,0.0
84523342,A8B44391,0.0,0,0.0
83234563,A8B44391,0.0,23,34.0
8445367,A8B44391,0.0,4,0.0
832425673,A8B44391,0.0,12,0.0
83466245,A8B44391,36.0,0,55.0
84592028,A8B44391,0.0,0,0.0
838714695,A8B44391,53.0,28,81.0
833985130,A8B44391,5.0,16,43.0
844263863,A8B44391,3.0,16,19.0
836987841,A8B44391,70.0,58,164.0
843613970,A8B44391,9.0,16,30.0
832628136,A8B44391,4.0,28,15.0
843576520,A8B44391,73.0,51,230.0
840843864,A8B44391,9.0,16,8.0
842093103,A8B44391,10.0,16,42.0
843253574,A8B44391,7.0,16,46.0
849758146,A8B44391,7.0,22,152.0
838361405,A8B44391,2.0,16,7.0
830366207,A8B44391,71.0,58,188.0
835541432,A8B44391,6.0,20,40.0
836289068,A8B44391,75.0,28,337.0
840536653,A8B44391,69.0,47,189.0
845565622,A8B44391,78.0,57,250.0
836330862,A8B44391,73.0,51,259.0
846714736,A8B44391,8.0,16,36.0
835654075,A8B44391,6.0,16,20.0
836211744,A8B44391,8.0,16,34.0
839723916,A8B44391,9.0,28,43.0
840790627,A8B44391,37.0,31,20.0
847672958,A8B44391,3.0,9,21.0
836778215,A8B44391,4.0,28,20.0
847479808,A8B44391,4.0,16,23.0
837156243,A8B44391,23.0,28,7.0
847654905,A8B44391,57.0,37,109.0
842424964,A8B44391,0.0,2,36.0
844580441,A8B44391,11.0,25,88.0
833511431,A8B44391,7.0,9,19.0
848971796,A8B44391,16.0,25,93.0
831393630,A8B44391,12.0,29,71.0
842559645,A8B44391,1.0,9,13.0
845897278,A8B44391,41.0,40,39.0
838765822,A8B44391,77.0,60,264.0
837337349,A8B44391,9.0,31,173.0
837571405,A8B44391,1.0,21,18.0
840828171,A8B44391,3.0,18,28.0
831112027,A8B44391,81.0,37,342.0
843972974,A8B44391,77.0,51,179.0
841700075,A8B44391,31.0,24,27.0
844531668,A8B44391,24.0,21,39.0
836971671,A8B44391,77.0,50,252.0
833176385,A8B44391,69.0,40,231.0
837998212,A8B44391,3.0,9,22.0
847470952,A8B44391,7.0,18,31.0
841344200,A8B44391,4.0,9,38.0
840422198,A8B44391,79.0,51,158.0
844244820,A8B44391,1.0,9,19.0
835018556,A8B44391,9.0,9,8.0
831673596,A8B44391,10.0,25,70.0
831586634,A8B44391,5.0,9,36.0
840450094,A8B44391,7.0,21,35.0
